//======================= About page,//======================== O stranici
About,Oko
UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.,UPS se udružio s Magentom kako bi ponudio besplatnu UPS dostavu i UPS Access Point™ modul koji će vam omogućiti integraciju i ponudu širokog spektra UPS rješenja za otpremu i dostavu izravno u procesu odjave na vašoj web stranici! Ovaj službeni UPS modul za Magento daje vašim klijentima pristup našoj ekspanzivnoj UPS Access Point mreži i uslugama dostave.
Features of this product,Značajke ovog proizvoda
Front Office,Ispred ureda
Simple & easy map interface for your customers to select UPS Access Point as per their preference.,Jednostavno i jednostavno sučelje karte za vaše klijente da odaberu UPS pristupnu točku prema svojim željama.
User-friendly interface for your customers to switch from Access Point delivery to home delivery.,Sučelje prilagođeno korisnicima za prebacivanje s dostave putem pristupne točke na dostavu na kućnu adresu.
Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).,UPS cijena dostave u stvarnom vremenu ili paušalne stope za svaku dostupnu uslugu (prema postavkama pozadinskog ureda trgovca).
Back Office,Stražnji ured
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Raspon opcija za postavljanje stopa isporuke koje će vaši kupci vidjeti (na primjer: besplatna dostava, stope dostave u stvarnom vremenu ili fiksne stope prema pragovima vrijednosti košarice)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Mogućnost otvaranja UPS računa direktno u samom modulu, ukoliko ga nemate."
Easy PDF label generation.,Jednostavno stvaranje PDF naljepnica.
Real time tracking information.,Informacije o praćenju u stvarnom vremenu.
Ability to export open orders so that you can process them in other applications for more complex needs.,Mogućnost izvoza otvorenih naloga kako biste ih mogli obraditi u drugim aplikacijama za složenije potrebe.
Module version number and release date,Broj verzije modula i datum izdavanja
Module version v,Verzija modula v
Release date,Datum izlaska
Changelog,Dnevnik promjena
Platform compatibility statement,Izjava o kompatibilnosti platforme
"Compatible with Magento versions 2.1, 2.2, 2.3","Kompatibilan s Magento verzijama 2.1, 2.2, 2.3"
UPS Shipping Module website,Web stranica UPS modula za dostavu
For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>,Za više informacija posjetite <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups .com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>
For more information visit,Za više informacija posjetite
Support information,Informacije o podršci
