//======================= About page,//======================== Σελίδα Σχετικά με
About,Σχετικά με
UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.,Η UPS συνεργάστηκε με τη Magento για να προσφέρει μια δωρεάν μονάδα UPS Shipping και UPS Access Point™ που θα σας επιτρέψει να ενσωματώσετε και να προσφέρετε ένα ευρύ φάσμα λύσεων αποστολής και παράδοσης UPS απευθείας στη διαδικασία check-out του ιστότοπού σας! Αυτή η επίσημη μονάδα UPS για το Magento παρέχει στους πελάτες σας πρόσβαση στο εκτεταμένο δίκτυο UPS Access Point και στις υπηρεσίες παράδοσης.
Features of this product,Χαρακτηριστικά αυτού του προϊόντος
Front Office,Μπροστινό γραφείο
Simple & easy map interface for your customers to select UPS Access Point as per their preference.,Απλή και εύκολη διεπαφή χάρτη για τους πελάτες σας να επιλέξουν το UPS Access Point σύμφωνα με τις προτιμήσεις τους.
User-friendly interface for your customers to switch from Access Point delivery to home delivery.,Φιλική προς το χρήστη διεπαφή για την εναλλαγή των πελατών σας από παράδοση σημείου πρόσβασης σε παράδοση κατ' οίκον.
Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).,Ποσοστό αποστολής UPS σε πραγματικό χρόνο ή σταθερές τιμές για κάθε διαθέσιμη υπηρεσία (σύμφωνα με τις ρυθμίσεις του back office του εμπόρου).
Back Office,Back Office
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Εύρος επιλογών για να ρυθμίσετε τις τιμές παράδοσης που θα βλέπουν οι πελάτες σας (για παράδειγμα: δωρεάν αποστολή, τιμές αποστολής σε πραγματικό χρόνο ή σταθερές τιμές σύμφωνα με τα όρια αξίας καλαθιού)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Δυνατότητα ανοίγματος λογαριασμού UPS απευθείας στο ίδιο το module, αν δεν έχετε."
Easy PDF label generation.,Εύκολη δημιουργία ετικετών PDF.
Real time tracking information.,Πληροφορίες παρακολούθησης σε πραγματικό χρόνο.
Ability to export open orders so that you can process them in other applications for more complex needs.,Δυνατότητα εξαγωγής ανοιχτών παραγγελιών ώστε να μπορείτε να τις επεξεργάζεστε σε άλλες εφαρμογές για πιο σύνθετες ανάγκες.
Module version number and release date,Αριθμός έκδοσης μονάδας και ημερομηνία κυκλοφορίας
Module version v,Έκδοση ενότητας v
Release date,Ημερομηνία κυκλοφορίας
Changelog,Καταγραφή αλλαγών
Platform compatibility statement,Δήλωση συμβατότητας πλατφόρμας
"Compatible with Magento versions 2.1, 2.2, 2.3","Συμβατό με τις εκδόσεις Magento 2.1, 2.2, 2.3"
UPS Shipping Module website,Ιστότοπος UPS Shipping Module
For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>,Για περισσότερες πληροφορίες επισκεφθείτε τη διεύθυνση <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups .com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>
For more information visit,Για περισσότερες πληροφορίες επισκεφθείτε
Support information,Πληροφορίες υποστήριξης
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","Για βοήθεια σχετικά με την εγκατάσταση, την αναβάθμιση ή τη χρήση της μονάδας αποστολής UPS, επικοινωνήστε με την UPS στη διεύθυνση -"
Poland +48 (0) 22 203 03 21,Πολωνία +48 (0) 22 203 03 21
UPS Shipping Module,Μονάδα αποστολής UPS
UPS Shipping,Αποστολή UPS
Shipment management,Διαχείριση αποστολής
//======================= Country page,//======================== Σελίδα χώρας
Country setting,Ρύθμιση χώρας
Country Setting,Ρύθμιση χώρας
Please select your country/territory,Επιλέξτε τη χώρα/την επικράτειά σας
Continue,Να συνεχίσει
//======================= Terms and Condition page,//======================= Σελίδα Όρων και Προϋποθέσεων
UPS Terms and Conditions,Όροι και Προϋποθέσεις της UPS
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies, like limiting UPS's liability and my agreement on how disputes between UPS and me will be handled","Συμφωνώ με τη Συμφωνία Τεχνολογίας της UPS και επιβεβαιώνω ότι μου δόθηκε αρκετός χρόνος για να τη διαβάσω και να κατανοήσω ότι περιέχει σημαντικούς όρους σχετικά με τη χρήση των τεχνολογιών της UPS, όπως ο περιορισμός της ευθύνης της UPS και η συμφωνία μου σχετικά με τον τρόπο με τον οποίο θα υπάρχουν διαφορές μεταξύ της UPS και εμένα. χειρίζεται"
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies,","Συμφωνώ με τη Συμφωνία Τεχνολογίας της UPS και επιβεβαιώνω ότι μου δόθηκε αρκετός χρόνος για να τη διαβάσω και να κατανοήσω ότι περιέχει σημαντικούς όρους σχετικά με τη χρήση της UPS Technologies,"
like,σαν
limiting UPS's liability and my agreement on how disputes between UPS and me will be handled,περιορίζοντας την ευθύνη της UPS και τη συμφωνία μου για τον τρόπο με τον οποίο θα αντιμετωπίζονται οι διαφορές μεταξύ της UPS και εμένα.
Print,Τυπώνω
Cannot get Term & Condition,Δεν είναι δυνατή η λήψη Όρων & Προϋποθέσεων
//======================= Account Page,//======================= Σελίδα λογαριασμού
Account,λογαριασμός
ACCOUNT,ΛΟΓΑΡΙΑΣΜΟΣ
