//======================= About page,//====================== Hakkında sayfası
About,Hakkında
UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.,"UPS, çok çeşitli UPS gönderi ve teslimat çözümlerini doğrudan web sitenizin check-out işlemine entegre etmenize ve sunmanıza olanak sağlayacak ücretsiz bir UPS Gönderi ve UPS Erişim Noktası™ Modülü sunmak için Magento ile ortaklık kurdu! Magento için bu resmi UPS Modülü, müşterilerinize geniş UPS Erişim Noktası ağımıza ve teslimat hizmetlerimize erişim sağlar."
Features of this product,Bu ürünün özellikleri
Front Office,Ön ofis
Simple & easy map interface for your customers to select UPS Access Point as per their preference.,Müşterilerinizin tercihlerine göre UPS Erişim Noktasını seçmeleri için basit ve kolay harita arayüzü.
User-friendly interface for your customers to switch from Access Point delivery to home delivery.,Müşterilerinizin Erişim Noktası teslimatından eve teslimata geçmesi için kullanıcı dostu arayüz.
Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).,Mevcut her hizmet için gerçek zamanlı UPS gönderi ücreti veya sabit fiyatlar (satıcının arka ofis ayarlarına göre).
Back Office,Arka Ofis
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Müşterilerinizin göreceği teslimat ücretlerini ayarlamak için çeşitli seçenekler (örneğin: ücretsiz gönderim, gerçek zamanlı gönderim ücretleri veya sepet değeri eşiklerine göre sabit ücretler)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Eğer yoksa, doğrudan modülün kendisinde bir UPS hesabı açma imkanı."
Easy PDF label generation.,Kolay PDF etiketi oluşturma.
Real time tracking information.,Gerçek zamanlı izleme bilgileri.
Ability to export open orders so that you can process them in other applications for more complex needs.,Daha karmaşık ihtiyaçlar için diğer uygulamalarda işleyebilmeniz için açık siparişleri dışa aktarabilme.
Module version number and release date,Modül sürüm numarası ve çıkış tarihi
Module version v,Modül sürümü v
Release date,Yayın tarihi
Changelog,Değişiklik günlüğü
Platform compatibility statement,Platform uyumluluk bildirimi
"Compatible with Magento versions 2.1, 2.2, 2.3","Magento sürümleri 2.1, 2.2, 2.3 ile uyumlu"
UPS Shipping Module website,UPS Gönderi Modülü web sitesi
For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>,Daha fazla bilgi için <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups adresini ziyaret edin. .com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>
For more information visit,Daha fazla bilgi için ziyaret edin
Support information,Destek bilgileri
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","UPS Gönderi Modülünü kurma, yükseltme veya kullanma konusunda yardım için lütfen şu adresten UPS ile iletişime geçin:"
Poland +48 (0) 22 203 03 21,Polonya +48 (0) 22 203 03 21
UPS Shipping Module,UPS Gönderi Modülü
UPS Shipping,UPS Nakliye
Shipment management,sevkiyat yönetimi
//======================= Country page,//====================== Ülke sayfası
Country setting,Ülke Ayarı
