//======================= About page,//======================= Despre pagina
About,Despre
UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.,UPS a încheiat un parteneriat cu Magento pentru a oferi gratuit UPS Shipping și UPS Access Point™ Modul™ care vă va permite să integrați și să oferiți o gamă largă de soluții de expediere și livrare UPS direct în procesul de finalizare a site-ului dvs.! Acest modul oficial UPS pentru Magento oferă clienților dvs. acces la rețeaua noastră extinsă de puncte de acces UPS și la serviciile de livrare.
Features of this product,Caracteristicile acestui produs
Front Office,Front office
Simple & easy map interface for your customers to select UPS Access Point as per their preference.,Interfață de hartă simplă și ușoară pentru clienții dvs. pentru a selecta punctul de acces UPS după preferințele lor.
User-friendly interface for your customers to switch from Access Point delivery to home delivery.,Interfață ușor de utilizat pentru ca clienții tăi să treacă de la livrarea cu punct de acces la livrarea la domiciliu.
Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).,Rata de expediere UPS în timp real sau tarife fixe pentru fiecare serviciu disponibil (conform setărilor din back office ale comerciantului).
Back Office,Back Office
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Gamă de opțiuni pentru a configura ratele de livrare pe care le vor vedea clienții dvs. (de exemplu: livrare gratuită, tarife de expediere în timp real sau tarife fixe conform pragurilor valorii coșului)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Posibilitatea de a deschide un cont UPS direct în modul propriu-zis, dacă nu aveți unul."
Easy PDF label generation.,Generare ușoară de etichete PDF.
Real time tracking information.,Informații de urmărire în timp real.
Ability to export open orders so that you can process them in other applications for more complex needs.,"Posibilitatea de a exporta comenzi deschise, astfel încât să le puteți procesa în alte aplicații pentru nevoi mai complexe."
Module version number and release date,Numărul versiunii modulului și data lansării
Module version v,Versiunea modulului v
Release date,Data de lansare
Changelog,Jurnalul modificărilor
Platform compatibility statement,Declarație de compatibilitate a platformei
"Compatible with Magento versions 2.1, 2.2, 2.3","Compatibil cu versiunile Magento 2.1, 2.2, 2.3"
UPS Shipping Module website,Site-ul UPS Shipping Module
For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>,"Pentru mai multe informații, accesați <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups .com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>"
For more information visit,Pentru mai multe informații vizitați
Support information,Informații de asistență
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","Pentru asistență cu instalarea, modernizarea sau utilizarea Modulului de expediere UPS, vă rugăm să contactați UPS la -"
Poland +48 (0) 22 203 03 21,Polonia +48 (0) 22 203 03 21
UPS Shipping Module,Modulul de expediere UPS
UPS Shipping,Livrare UPS
Shipment management,Managementul expedierii
//======================= Country page,//======================= Pagina de ţară
Country setting,Setarea țării
Country Setting,Setarea țării
Please select your country/territory,Vă rugăm să selectați țara/teritoriul dvs
